类型,WindCode,成交日期时间,成交价格,成交数量,成交金额,买卖方向
transaction,000001.SZ,2016-05-04 09:36:47.910000,10.71,99,1060.0,66
transaction,000001.SZ,2016-05-04 09:36:47.910000,10.71,901,9649.0,66
transaction,000001.SZ,2016-05-04 09:36:48.300000,10.71,2000,21420.0,66
transaction,000001.SZ,2016-05-04 09:36:48.560000,10.71,2000,21420.0,66
transaction,000001.SZ,2016-05-04 09:36:48.840000,0.0,3000,0.0,32
transaction,000001.SZ,2016-05-04 09:36:48.940000,10.71,2000,21420.0,66
transaction,600000.SH,2016-05-04 09:36:48.450000,18.2,1100,20020.0,66
transaction,000001.SZ,2016-05-04 09:36:49.050000,0.0,1000,0.0,32
transaction,600000.SH,2016-05-04 09:36:49.360000,18.19,200,3638.0,83
transaction,000001.SZ,2016-05-04 09:36:49.640000,0.0,3000,0.0,32
transaction,000001.SZ,2016-05-04 09:36:50.180000,10.71,500,5355.0,66
transaction,000001.SZ,2016-05-04 09:36:52.260000,10.71,2599,27835.0,66
transaction,000001.SZ,2016-05-04 09:36:52.260000,10.71,1000,10710.0,66
transaction,000001.SZ,2016-05-04 09:36:52.260000,10.71,500,5355.0,66
transaction,000001.SZ,2016-05-04 09:36:52.260000,10.71,901,9649.0,66
transaction,000001.SZ,2016-05-04 09:36:52.690000,10.7,2000,21400.0,83
transaction,600000.SH,2016-05-04 09:36:50.950000,18.2,1300,23660.0,66
transaction,600000.SH,2016-05-04 09:36:51.810000,18.2,1800,32760.0,66
transaction,600000.SH,2016-05-04 09:36:52.050000,18.2,100,1820.0,66
transaction,600000.SH,2016-05-04 09:36:52.730000,18.2,500,9100.0,66
transaction,600000.SH,2016-05-04 09:36:52.780000,18.19,500,9095.0,83
transaction,600000.SH,2016-05-04 09:36:53.000000,18.19,1000,18190.0,83
transaction,000001.SZ,2016-05-04 09:36:54.180000,10.71,4000,42840.0,66
transaction,000001.SZ,2016-05-04 09:36:54.310000,10.71,99,1060.0,66
transaction,000001.SZ,2016-05-04 09:36:54.310000,10.71,101,1081.0,66
transaction,000001.SZ,2016-05-04 09:36:55.180000,10.7,100,1070.0,83
transaction,000001.SZ,2016-05-04 09:36:55.700000,10.71,1599,17125.0,66
transaction,000001.SZ,2016-05-04 09:36:55.700000,10.71,500,5355.0,66
transaction,000001.SZ,2016-05-04 09:36:55.700000,10.71,1700,18207.0,66
transaction,000001.SZ,2016-05-04 09:36:55.700000,10.71,601,6436.0,66
transaction,600000.SH,2016-05-04 09:36:54.250000,18.19,200,3638.0,83
transaction,600000.SH,2016-05-04 09:36:54.700000,18.2,4900,89180.0,66
transaction,600000.SH,2016-05-04 09:36:55.140000,18.19,800,14552.0,83
transaction,600000.SH,2016-05-04 09:36:56.040000,18.2,1300,23660.0,66
transaction,000001.SZ,2016-05-04 09:36:58.450000,10.7,300,3210.0,83
